student_id,cgpa,attendance,coding_score,aptitude_score,communication_score,projects_count,internships_count,hackathon_count,placement_status
1,6.87,100,24,21,70,4,3,1,0
2,9.75,89,62,52,29,1,3,4,1
3,8.66,56,95,84,81,0,3,2,1
4,7.99,81,29,65,90,4,3,0,1
5,5.78,97,44,42,15,6,1,1,0
6,5.78,68,89,81,84,0,1,2,1
7,5.29,55,60,22,4,3,2,1,0
8,9.33,69,99,76,28,3,2,1,1
9,8.01,76,50,63,46,1,2,1,1
10,8.54,92,97,8,100,3,1,4,1
11,5.1,86,8,6,21,7,0,3,0
12,9.85,97,75,40,77,4,2,1,1
13,9.16,56,1,53,56,5,0,4,1
14,6.06,54,4,64,82,3,0,0,0
15,5.91,60,61,1,34,5,0,3,0
16,5.92,64,68,3,87,1,3,4,0
17,6.52,52,51,77,59,6,1,0,1
18,7.62,54,85,31,69,2,1,3,1
19,7.16,72,4,99,59,0,2,4,0
20,6.46,86,58,1,57,7,2,0,1
21,8.06,58,67,63,2,0,1,4,1
22,5.7,64,8,13,33,4,3,0,0
23,6.46,52,92,19,44,1,1,1,0
24,6.83,78,21,88,49,1,0,1,0
25,7.28,55,26,48,1,1,1,3,0
26,8.93,66,9,7,14,0,3,0,0
27,6.0,75,79,91,36,3,1,1,1
28,7.57,70,60,62,14,0,1,3,1
29,7.96,57,50,45,59,0,1,2,1
30,5.23,70,9,20,95,0,0,1,0
31,8.04,60,5,86,84,6,2,1,1
32,5.85,87,61,31,63,6,3,5,1
33,5.33,57,4,7,80,3,0,4,0
34,9.74,91,69,94,97,2,1,2,1
35,9.83,73,62,100,95,4,1,0,1
36,9.04,84,55,15,51,2,2,3,1
37,6.52,63,58,39,22,2,2,2,0
38,5.49,63,62,26,98,0,2,0,0
39,8.42,59,88,17,36,7,0,1,1
40,7.2,61,58,34,40,2,3,5,1
41,5.61,87,50,51,100,0,2,3,0
42,7.48,93,49,14,56,0,1,3,0
43,5.17,95,3,62,96,4,3,2,0
44,9.55,83,47,52,24,1,1,4,1
45,6.29,90,31,90,36,0,1,0,0
46,8.31,59,50,80,39,6,3,5,1
47,6.56,66,51,65,84,2,0,5,0
48,7.6,66,98,30,45,4,3,2,1
